Tue Jan 14 09:49:28 2025 Epoch 0, lr: 0.0001000, val loss: 210.90214, acc: 19.70000
Tue Jan 14 09:56:06 2025 Epoch 1, lr: 0.0001000, val loss: 189.81719, acc: 29.92000
Tue Jan 14 10:02:52 2025 Epoch 2, lr: 0.0001000, val loss: 181.57761, acc: 32.67000
Tue Jan 14 10:08:37 2025 Epoch 3, lr: 0.0001000, val loss: 176.84682, acc: 34.93000
Tue Jan 14 10:14:15 2025 Epoch 4, lr: 0.0001000, val loss: 170.22085, acc: 38.46000
Tue Jan 14 10:21:03 2025 Epoch 5, lr: 0.0001000, val loss: 158.97622, acc: 42.11000
Tue Jan 14 10:27:55 2025 Epoch 6, lr: 0.0001000, val loss: 151.48381, acc: 44.92000
Tue Jan 14 10:34:49 2025 Epoch 7, lr: 0.0001000, val loss: 149.01001, acc: 44.21000
Tue Jan 14 10:41:34 2025 Epoch 8, lr: 0.0000999, val loss: 143.21808, acc: 47.64000
Tue Jan 14 10:52:31 2025 Epoch 9, lr: 0.0000999, val loss: 136.66837, acc: 50.88000
Tue Jan 14 11:47:32 2025 Epoch 0, lr: 0.0001000, val loss: 210.64144, acc: 24.03000
Tue Jan 14 11:54:08 2025 Epoch 1, lr: 0.0001000, val loss: 186.64114, acc: 31.19000
Tue Jan 14 12:01:56 2025 Epoch 2, lr: 0.0001000, val loss: 178.40207, acc: 34.94000
Tue Jan 14 12:08:59 2025 Epoch 3, lr: 0.0001000, val loss: 166.75066, acc: 38.24000
Tue Jan 14 12:15:36 2025 Epoch 4, lr: 0.0001000, val loss: 159.75183, acc: 41.18000
Tue Jan 14 12:22:24 2025 Epoch 5, lr: 0.0001000, val loss: 150.61000, acc: 44.26000
Tue Jan 14 12:28:10 2025 Epoch 6, lr: 0.0001000, val loss: 144.00238, acc: 46.96000
Tue Jan 14 12:35:13 2025 Epoch 7, lr: 0.0001000, val loss: 133.31791, acc: 51.35000
Tue Jan 14 12:42:03 2025 Epoch 8, lr: 0.0000999, val loss: 137.90978, acc: 50.18000
Tue Jan 14 12:48:48 2025 Epoch 9, lr: 0.0000999, val loss: 133.53260, acc: 51.55000
Tue Jan 14 12:56:01 2025 Epoch 10, lr: 0.0000999, val loss: 125.61543, acc: 55.26000
Tue Jan 14 13:02:55 2025 Epoch 11, lr: 0.0000999, val loss: 124.06521, acc: 55.64000
Tue Jan 14 13:09:28 2025 Epoch 12, lr: 0.0000998, val loss: 119.87768, acc: 57.02000
Tue Jan 14 13:15:46 2025 Epoch 13, lr: 0.0000998, val loss: 115.76464, acc: 58.11000
Tue Jan 14 13:21:31 2025 Epoch 14, lr: 0.0000998, val loss: 119.62546, acc: 57.89000
Tue Jan 14 13:28:42 2025 Epoch 15, lr: 0.0000997, val loss: 110.42042, acc: 60.72000
Tue Jan 14 13:35:30 2025 Epoch 16, lr: 0.0000997, val loss: 108.20930, acc: 60.66000
