Mon Jan 13 18:24:17 2025 Epoch 0, lr: 0.0001000, val loss: 182.27150, acc: 32.70000
Mon Jan 13 18:29:52 2025 Epoch 1, lr: 0.0001000, val loss: 165.50500, acc: 39.81000
Mon Jan 13 18:35:41 2025 Epoch 2, lr: 0.0001000, val loss: 148.83474, acc: 46.55000
Mon Jan 13 18:41:38 2025 Epoch 3, lr: 0.0001000, val loss: 140.76245, acc: 49.51000
Mon Jan 13 18:47:36 2025 Epoch 4, lr: 0.0001000, val loss: 136.19805, acc: 50.85000
Mon Jan 13 18:53:36 2025 Epoch 5, lr: 0.0001000, val loss: 131.08674, acc: 52.80000
Mon Jan 13 19:04:35 2025 Epoch 6, lr: 0.0001000, val loss: 132.26666, acc: 52.42000
Mon Jan 13 19:10:42 2025 Epoch 7, lr: 0.0001000, val loss: 125.43223, acc: 55.21000
Mon Jan 13 19:16:49 2025 Epoch 8, lr: 0.0000999, val loss: 124.00069, acc: 56.07000
Mon Jan 13 19:28:58 2025 Epoch 9, lr: 0.0000999, val loss: 124.89348, acc: 55.37000
Mon Jan 13 20:12:58 2025 Epoch 10, lr: 0.0000999, val loss: 120.87205, acc: 56.75000
Mon Jan 13 20:20:00 2025 Epoch 11, lr: 0.0000999, val loss: 117.45716, acc: 58.44000
Mon Jan 13 20:26:14 2025 Epoch 12, lr: 0.0000998, val loss: 114.75895, acc: 58.82000
Mon Jan 13 20:37:53 2025 Epoch 13, lr: 0.0000998, val loss: 114.61182, acc: 58.98000
Mon Jan 13 20:44:42 2025 Epoch 14, lr: 0.0000998, val loss: 114.64343, acc: 58.63000
Mon Jan 13 20:50:54 2025 Epoch 15, lr: 0.0000997, val loss: 113.31524, acc: 59.73000
Mon Jan 13 20:58:24 2025 Epoch 16, lr: 0.0000997, val loss: 114.51329, acc: 59.27000
Mon Jan 13 21:06:36 2025 Epoch 17, lr: 0.0000997, val loss: 109.49842, acc: 60.76000
Mon Jan 13 21:14:46 2025 Epoch 18, lr: 0.0000996, val loss: 108.68447, acc: 61.38000
